location,rooms,sqm_m2,price_normalized,trieu_met_vuong,rooms_normalized
Binh Chanh,1 PN,38,760.0,20.0,1
Binh Chanh,2 PN,72,2780.0,38.61,2
Binh Chanh,2 PN,72,2750.0,38.19,2
Binh Chanh,2 PN,72,2249.0,31.24,2
Binh Chanh,2 PN,70,2800.0,40.0,2
Binh Chanh,2 PN,70,840.0,12.0,2
Binh Chanh,2 PN,69,2846.0,41.25,2
Binh Chanh,2 PN,69,2754.0,39.91,2
Binh Chanh,2 PN,69,2736.0,39.65,2
Binh Chanh,2 PN,69,1900.0,27.54,2
Binh Chanh,2 PN,69,720.0,10.43,2
Binh Chanh,2 PN,69,680.0,9.86,2
Binh Chanh,2 PN,67,2450.0,36.57,2
Binh Chanh,2 PN,67,2100.0,31.34,2
Binh Chanh,2 PN,67,1450.0,21.64,2
Binh Chanh,2 PN,72,2780.0,38.61,2
Binh Chanh,2 PN,65,2900.0,44.62,2
Binh Chanh,2 PN,65,2440.0,37.54,2
Binh Chanh,2 PN,65,2250.0,34.62,2
Binh Chanh,2 PN,65,2100.0,32.31,2
Binh Chanh,2 PN,65,2100.0,32.31,2
Binh Chanh,2 PN,65,2035.0,31.31,2
Binh Chanh,2 PN,65,600.0,9.23,2
Binh Chanh,2 PN,64,2100.0,32.81,2
Binh Chanh,2 PN,60,2500.0,41.67,2
Binh Chanh,2 PN,60,2200.0,36.67,2
Binh Chanh,2 PN,60,1900.0,31.67,2
Binh Chanh,2 PN,60,750.0,12.5,2
Binh Chanh,2 PN,60,700.0,11.67,2
Binh Chanh,2 PN,60,700.0,11.67,2
Binh Chanh,2 PN,60,600.0,10.0,2
Binh Chanh,2 PN,65,2800.0,43.08,2
Binh Chanh,2 PN,73,3800.0,52.05,2
Binh Chanh,2 PN,74,1650.0,22.3,2
Binh Chanh,2 PN,74,1650.0,22.3,2
Binh Chanh,3 PN,160,2950.0,18.44,3
Binh Chanh,3 PN,113,4407.0,39.0,3
Binh Chanh,3 PN,105,2400.0,22.86,3
Binh Chanh,3 PN,101,2280.0,22.69,3
Binh Chanh,3 PN,90,1800.0,20.0,3
Binh Chanh,3 PN,85,2824.0,33.22,3
Binh Chanh,3 PN,85,1500.0,17.65,3
Binh Chanh,3 PN,85,1200.0,14.12,3
Binh Chanh,3 PN,85,980.0,11.53,3
Binh Chanh,3 PN,85,950.0,11.18,3
Binh Chanh,3 PN,85,945.0,11.12,3
Binh Chanh,3 PN,85,799.0,9.4,3
Binh Chanh,3 PN,83,2000.0,24.1,3
Binh Chanh,3 PN,78,2250.0,28.85,3
Binh Chanh,3 PN,71,2550.0,35.92,3
Binh Chanh,3 PN,67,1200.0,17.86,3
Binh Chanh,3 PN,64,750.0,11.72,3
Binh Chanh,2 PN,76,1900.0,25.0,2
Binh Chanh,2 PN,78,2650.0,33.97,2
Binh Chanh,2 PN,78,2900.0,37.18,2
Binh Chanh,2 PN,78,2900.0,37.18,2
Binh Chanh,2 PN,78,3300.0,42.31,2
Binh Chanh,2 PN,79,3650.0,45.99,2
Binh Chanh,2 PN,60,600.0,10.0,2
Binh Chanh,2 PN,80,2000.0,25.16,2
Binh Chanh,2 PN,80,3562.0,44.53,2
Binh Chanh,2 PN,83,1900.0,22.89,2
Binh Chanh,2 PN,83,2750.0,33.13,2
Binh Chanh,2 PN,125,1750.0,14.0,2
Binh Chanh,3 PN,40,790.0,19.75,3
Binh Chanh,3 PN,45,790.0,17.56,3
Binh Chanh,2 PN,80,2100.0,26.25,2
Binh Chanh,2 PN,60,599.0,9.98,2
Binh Chanh,3 PN,82,2800.0,34.15,3
Binh Chanh,2 PN,59,2360.0,40.0,2
Binh Chanh,2 PN,59,660.0,11.19,2
Binh Chanh,2 PN,59,649.0,11.0,2
Binh Chanh,2 PN,58,2600.0,44.83,2
Binh Chanh,2 PN,56,2850.0,50.89,2
Binh Chanh,2 PN,56,2450.0,43.75,2
Binh Chanh,2 PN,56,2265.0,40.45,2
Binh Chanh,2 PN,56,2250.0,40.18,2
Binh Chanh,2 PN,56,2200.0,39.29,2
Binh Chanh,2 PN,56,2200.0,39.29,2
Binh Chanh,2 PN,54,1600.0,29.63,2
Binh Chanh,2 PN,52,1700.0,32.69,2
Binh Chanh,2 PN,51,1450.0,28.43,2
Binh Chanh,2 PN,50,1690.0,33.8,2
Binh Chanh,2 PN,50,1650.0,33.0,2
Binh Chanh,2 PN,59,660.0,11.19,2
Binh Chanh,2 PN,50,1630.0,32.6,2
Binh Chanh,2 PN,50,1500.0,30.0,2
Binh Chanh,2 PN,50,1500.0,30.0,2
Binh Chanh,2 PN,50,1420.0,28.4,2
Binh Chanh,2 PN,50,1380.0,27.6,2
Binh Chanh,2 PN,48,1600.0,33.33,2
Binh Chanh,2 PN,40,1100.0,27.5,2
Binh Chanh,1 PN,54,1750.0,32.41,1
Binh Chanh,1 PN,50,2700.0,53.82,1
Binh Chanh,1 PN,50,100.0,2.0,1
Binh Chanh,1 PN,46,1049.0,22.8,1
Binh Chanh,1 PN,42,1800.0,42.86,1
Binh Chanh,1 PN,42,550.0,13.1,1
Binh Chanh,1 PN,40,1170.0,29.25,1
Binh Chanh,2 PN,59,2900.0,49.15,2
Binh Chanh,2 PN,50,1500.0,30.0,2
Binh Chanh,2 PN,59,660.0,11.19,2
Binh Chanh,2 PN,56,2260.0,40.36,2
Binh Chanh,2 PN,59,689.0,11.68,2
Binh Chanh,2 PN,59,2100.0,35.59,2
Binh Chanh,2 PN,59,2109.0,35.75,2
Binh Chanh,2 PN,59,2150.0,36.44,2
Binh Chanh,2 PN,59,2158.0,36.58,2
Binh Chanh,2 PN,59,2200.0,37.29,2
Binh Chanh,2 PN,59,666.67,11.3,2
Binh Chanh,2 PN,59,2100.0,35.59,2
Binh Chanh,2 PN,59,2200.0,37.29,2
Binh Chanh,2 PN,59,2200.0,37.29,2
Binh Chanh,2 PN,59,2279.0,38.63,2
Binh Chanh,2 PN,59,2300.0,38.98,2
Binh Chanh,2 PN,59,2300.0,38.98,2
Binh Chanh,2 PN,59,2300.0,38.98,2
Binh Chanh,2 PN,59,2301.0,39.0,2
Binh Chanh,2 PN,59,2200.0,37.29,2
Binh Chanh,2 PN,59,2100.0,35.59,2
Binh Chanh,2 PN,59,2200.0,37.29,2
Binh Chanh,2 PN,59,2100.0,35.59,2
Binh Chanh,2 PN,59,2100.0,35.59,2
Binh Chanh,2 PN,59,722.0,12.24,2
Binh Chanh,2 PN,59,1800.0,30.51,2
Binh Chanh,2 PN,59,1900.0,32.2,2
Binh Chanh,2 PN,59,1900.0,32.2,2
Binh Chanh,2 PN,59,1900.0,32.2,2
Binh Chanh,2 PN,59,1900.0,32.2,2
Binh Chanh,2 PN,59,2000.0,33.9,2
Binh Chanh,2 PN,59,2087.0,35.37,2
Binh Chanh,2 PN,59,2100.0,35.59,2
Binh Chanh,2 PN,59,2100.0,35.59,2
